description,name,id
Food,Alcoholic Beverages,2983371011
Food,Baby Foods,16323111
Food,Beverages,16310231
Food,Breads & Bakery,16318751
Food,Breakfast Foods,16310251
Food,Candy & Chocolate,16322461
Food,"Dairy, Cheese & Eggs",371460011
Food,Deli & Prepared Foods,18773724011
Food,Food & Beverage Gifts,2255571011
Food,Fresh Flowers & Live Indoor Plants,3745171
Food,Fresh Meal Kits,15709227011
Food,Frozen,6459122011
Food,Home Brewing & Winemaking,979861011
Food,Meat & Seafood,371469011
Food,Meat Substitutes,6518859011
Food,Pantry Staples,18787303011
Food,Produce,6506977011
Food,Snack Foods,16322721
Alcoholic Beverages,Beer,2983385011
Alcoholic Beverages,Cocktail Mixers,119342011
Alcoholic Beverages,Spirits,2983387011
Alcoholic Beverages,Wine,2983386011
Beer,Ale,15158294011
Beer,Hard Cider,15158297011
Beer,Lager & Pilsner,15158295011
Beer,Malt Beverages,17691543011
Beer,Non-Alcoholic Beer,15158296011
Beer,Seasonal,17691541011
Beer,Variety Packs,17691542011
Ale,Amber,17691517011
Ale,Belgian,17691519011
Ale,Brown Ale,17691520011
Ale,Hefeweizen,17691524011
Ale,India Pale Ale (IPA),17691534011
Ale,Pale Ale,17691535011
Ale,Scotch Ale,17691529011
Ale,Sour,17691526011
Cocktail Mixers,Bitters,5782428011
Cocktail Mixers,Bloody Mary,5782427011
Cocktail Mixers,Daiquiri,5782429011
Cocktail Mixers,Margarita,5782430011
Cocktail Mixers,Martini,5782431011
Cocktail Mixers,Seltzer Water,5782445011
Cocktail Mixers,Tonic Water,5782446011
Spirits,Brandy,15158303011
Spirits,Gin,15158352011
Spirits,Liqueurs,15158354011
Spirits,Pre-mixed Drinks,15158358011
Spirits,Rum,15158359011
Spirits,Tequila,15158372011
Spirits,Vodka,15158378011
Spirits,Whiskey & Scotch,15158379011
Wine,Dessert,6503741011
Wine,Fruit,8521879011
Wine,Mead,8521880011
Wine,Non-Alcoholic Wine,18327544011
Wine,Red,6503737011
Wine,Ros̩,6503739011
Wine,Sake & Rice Spirits,15158360011
Wine,Sangria,18327545011
Wine,Sparkling,6503740011
Wine,White,6503738011
Baby Foods,Baby Formula,16323121
Baby Foods,Beverages,16323201
Baby Foods,Cereal,16323151
Baby Foods,Meals,14804133011
Baby Foods,Snack Foods,6520541011
Beverages,"Bottled Beverages, Water & Drink Mixes",14808787011
Beverages,"Coffee, Tea & Cocoa",16521305011
"Bottled Beverages, Water & Drink Mixes",Cocktail Mixers,119342011
"Bottled Beverages, Water & Drink Mixes",Coconut Water,5599475011
"Bottled Beverages, Water & Drink Mixes",Cold-Brew Coffee & Concentrate,14808786011
"Bottled Beverages, Water & Drink Mixes",Energy Drinks,16318341
"Bottled Beverages, Water & Drink Mixes",Flavor Syrups,5782432011
"Bottled Beverages, Water & Drink Mixes",Iced Tea,5782362011
"Bottled Beverages, Water & Drink Mixes",Juices,16318171
"Bottled Beverages, Water & Drink Mixes",Meal Replacement & Protein Drinks,11136975011
"Bottled Beverages, Water & Drink Mixes",Milk & Cream,6520435011
"Bottled Beverages, Water & Drink Mixes",Non-Dairy Milks,119343011
"Bottled Beverages, Water & Drink Mixes",Powdered Drink Mixes & Flavorings,15525241011
"Bottled Beverages, Water & Drink Mixes",Soft Drinks,16318231
"Bottled Beverages, Water & Drink Mixes",Sports Drinks,16318371
"Bottled Beverages, Water & Drink Mixes",Water,16318651
Juices,Ciders,348083011
Juices,Fruit Juice,2255111011
Juices,Lemonade,724689011
Juices,Smoothies,5782434011
Juices,Sparkling Juice,5782433011
Juices,Vegetable Juice,2255110011
Meal Replacement & Protein Drinks,Instant Breakfast Drinks,347684011
Meal Replacement & Protein Drinks,Meal Replacement Drinks,5782435011
Meal Replacement & Protein Drinks,Protein Drinks,5782436011
Milk & Cream,Buttermilk,6520436011
Milk & Cream,Coffee Creamers,6520437011
Milk & Cream,Dairy Milk,6520438011
Milk & Cream,Eggnog,6520443011
Milk & Cream,Flavored Milk,6520444011
Milk & Cream,Half & Half,6520448011
Milk & Cream,Heavy Cream,6520449011
Milk & Cream,Light Cream,6520450011
Milk & Cream,Whipping Cream,6520451011
Non-Dairy Milks,Almond Milk,6520452011
Non-Dairy Milks,Coconut Milk,6520453011
Non-Dairy Milks,Coffee Creamers,16318041
Non-Dairy Milks,Flax Milk,6520454011
Non-Dairy Milks,Hemp Milk,6520455011
Non-Dairy Milks,Oat Milks,18777532011
Non-Dairy Milks,Rice Milk,119345011
Non-Dairy Milks,Soy Milk,119344011
Powdered Drink Mixes & Flavorings,Chocolate Drink Mixes,2255565011
Powdered Drink Mixes & Flavorings,Instant Breakfast Drinks,347684011
Powdered Drink Mixes & Flavorings,Powdered Milk,16317451
Powdered Drink Mixes & Flavorings,Soft Drink Mixes,2255564011
Powdered Drink Mixes & Flavorings,Water Flavoring Drops,15525242011
Water,Flavored Water,5782439011
Water,Mineral Water,5782443011
Water,Seltzer Water,5782445011
Water,Sparkling Water,5782442011
Water,Sports Drinking Water,5782440011
Water,Tonic Water,5782446011
"Coffee, Tea & Cocoa",Bubble Tea Kits,17871587011
"Coffee, Tea & Cocoa",Bubble Tea Tapioca Pearls,17395300011
"Coffee, Tea & Cocoa",Cocoa,16318161
"Coffee, Tea & Cocoa",Coffee,16318031
"Coffee, Tea & Cocoa",Coffee & Tea Gifts,2255575011
"Coffee, Tea & Cocoa",Coffee Substitutes,119341011
"Coffee, Tea & Cocoa",Dairy Coffee Creamers,6520437011
"Coffee, Tea & Cocoa",Non-Dairy Coffee Creamers,16318041
"Coffee, Tea & Cocoa",Tea,16318401
Coffee,Bottled & Canned Coffee Drinks,14808785011
Coffee,Ground Coffee,2251593011
Coffee,Iced Coffee & Cold-Brew,14808786011
Coffee,Instant Coffee,2251594011
Coffee,Roasted Coffee Beans,2251592011
Coffee,Single-Serve Capsules & Pods,14978414011
Coffee,Unroasted Coffee Beans,979887011
Tea,Black,16318411
Tea,Chai,348022011
Tea,Green,16318471
Tea,Herbal,16318511
Tea,Iced Tea,5782362011
Tea,Matcha,3585391
Tea,Oolong,5759779011
Tea,Rooibos,5759780011
Tea,Tea Samplers,5747969011
Tea,White,16318611
Breads & Bakery,Bakery & Dessert Gifts,2255576011
Breads & Bakery,Breadcrumbs & Stuffing,6548768011
Breads & Bakery,Breads,18776870011
Breads & Bakery,Breadsticks,6548769011
Breads & Bakery,Cakes,347681011
Breads & Bakery,Cookies,18774312011
Breads & Bakery,Desserts,6548788011
Breads & Bakery,Pastries & Bakery,6548770011
Breads & Bakery,Pastry Shells & Crusts,6548861011
Breads & Bakery,Pizza Crusts,291442011
Breads & Bakery,Refrigerated Doughs,6520474011
Breads,Baguette,18776871011
Breads,Challah,18776872011
Breads,Ciabatta,18776873011
Breads,Cornbread,18776874011
Breads,Dinner Breads,18776875011
Breads,Flatbreads,18776883011
Breads,Pretzels,18776887011
Breads,Rolls & Buns,18776888011
Breads,Sandwich Breads,18776899011
Rolls & Buns,Hamburger Buns,18776891011
Rolls & Buns,Hot Dog Buns,18776892011
Sandwich Breads,Buttermilk,18776900011
Sandwich Breads,Multigrain,18776902011
Sandwich Breads,Potato,18776904011
Sandwich Breads,Pumpernickel,18776905011
Sandwich Breads,Raisin,18776906011
Sandwich Breads,Rye,18776907011
Sandwich Breads,Sourdough,18776908011
Sandwich Breads,Spelt,18776909011
Sandwich Breads,White,18776910011
Sandwich Breads,Whole Wheat,18776912011
Cakes,Cheesecakes,725553011
Cakes,Coffeecakes,2255376011
Cakes,Fruitcakes,725554011
Cakes,Layer Cakes,2255377011
Cakes,Liquor Cakes,15283704011
Cakes,Panettones,725556011
Cookies,Biscotti,18774313011
Cookies,Butter,18774315011
Cookies,Chocolate,18774316011
Cookies,Chocolate Chip,18774317011
Cookies,Cookie Assortments,18774318011
Cookies,Fortune,18774320011
Cookies,Fruit,18774321011
Cookies,Ginger Snaps,18774322011
Cookies,Ladyfingers,18774323011
Cookies,Macaroons,18774324011
Cookies,Meringues,18774326011
Cookies,Nut,18774327011
Cookies,Oatmeal,18774328011
Cookies,Peanut-Butter,18774329011
Cookies,Pizzelles,18774330011
Cookies,Rich Tea,18774331011
Cookies,Sandwich,18774332011
Cookies,Shortbread,18774333011
Cookies,Snickerdoodles,18774334011
Cookies,Sugar,18774335011
Cookies,Wafers,18774336011
Desserts,Baklava,724692011
Desserts,Brownies,2257291011
Desserts,Cupcakes,6548790011
Desserts,Fudge,6548792011
Desserts,Pies,18327546011
Desserts,Sponge Puddings,15283708011
Desserts,Tarts,6548795011
Pastries & Bakery,Bagels,18770265011
Pastries & Bakery,Croissants,18770267011
Pastries & Bakery,Danishes,18770268011
Pastries & Bakery,Donuts,18770269011
Pastries & Bakery,English Muffins,18770270011
Pastries & Bakery,Muffins,18770271011
Pastries & Bakery,Pastries,18770272011
Pastries & Bakery,Scones,18770273011
Pastries & Bakery,Waffles,18770274011
Refrigerated Doughs,Biscuit Dough,6520475011
Refrigerated Doughs,Cinnamon Rolls,6520477011
Refrigerated Doughs,Cookie Dough,6520478011
Refrigerated Doughs,Dinner Rolls,6520479011
Breakfast Foods,Applesauce & Fruit Cups,6524414011
Breakfast Foods,Breakfast & Cereal Bars,387559011
Breakfast Foods,Breakfast Syrups & Toppings,11713214011
Breakfast Foods,Cereals,16318891
Breakfast Foods,Instant Breakfast Drinks,347684011
Breakfast Foods,"Pancake, Waffle & Baking Mixes",11713205011
Breakfast Foods,Toaster Pastries,295346011
Applesauce & Fruit Cups,Applesauce,6524415011
Applesauce & Fruit Cups,Fruit Cups,6524416011
Breakfast & Cereal Bars,Cereal,6524624011
Breakfast & Cereal Bars,Fruit & Nut,11437474011
Breakfast & Cereal Bars,Fruit Bars,17277532011
Breakfast & Cereal Bars,Granola,11437476011
Breakfast & Cereal Bars,High Protein,11437477011
Breakfast & Cereal Bars,Nut Bars,17277533011
Breakfast & Cereal Bars,Whole Grain,11437479011
Breakfast Syrups & Toppings,Chocolate & Hazelnut Spreads,6493998011
Breakfast Syrups & Toppings,Chocolate Syrups,16317491
Breakfast Syrups & Toppings,Fruit Sauces,6485914011
Breakfast Syrups & Toppings,Maple Syrups,16318001
Cereals,Cold Cereals,6524561011
Cereals,Granola,16318901
Cereals,Grits,16318911
Cereals,Muesli,6524575011
Cereals,Oatmeal,16318941
"Pancake, Waffle & Baking Mixes",Biscuits,16317241
"Pancake, Waffle & Baking Mixes",Muffins,16317301
"Pancake, Waffle & Baking Mixes",Pancakes & Waffles,16317311
Candy & Chocolate,"Brittle, Caramel & Toffee",17369012011
Candy & Chocolate,Candied & Chocolate-Covered Snacks,6558929011
Candy & Chocolate,Candy & Chocolate Assortments,6558922011
Candy & Chocolate,Candy & Chocolate Bars,6558923011
Candy & Chocolate,Candy & Chocolate Gifts,2255572011
Candy & Chocolate,Chewing & Bubble Gum,16322471
Candy & Chocolate,Chocolate & Fudge,17369014011
Candy & Chocolate,Ginger Candy,7514604011
Candy & Chocolate,Hard Candy & Lollipops,17369015011
Candy & Chocolate,Jelly Beans & Gummy Candy,17369013011
Candy & Chocolate,Marshmallows,724726011
Candy & Chocolate,Mints,16322531
Candy & Chocolate,Sour Candy,6558939011
Candy & Chocolate,Traditional & International Sweets,17369017011
"Brittle, Caramel & Toffee",Brittle,2255566011
"Brittle, Caramel & Toffee",Caramels,16322451
"Brittle, Caramel & Toffee",Toffee,16322581
Candied & Chocolate-Covered Snacks,Bacon,6558930011
Candied & Chocolate-Covered Snacks,Chips & Pretzels,6558935011
Candied & Chocolate-Covered Snacks,Espresso Beans,6558931011
Candied & Chocolate-Covered Snacks,Fruit,6558932011
Candied & Chocolate-Covered Snacks,Nut Clusters,16322541
Candied & Chocolate-Covered Snacks,Nuts,6558933011
Chocolate & Fudge,Candy & Chocolate Bars,6558923011
Chocolate & Fudge,Chocolate Truffles,2257229011
Chocolate & Fudge,Fudge,2255567011
Hard Candy & Lollipops,Candy Canes,17369016011
Hard Candy & Lollipops,Hard Candy,16322491
Hard Candy & Lollipops,Suckers & Lollipops,16322551
Jelly Beans & Gummy Candy,Gummy Candy,16322481
Jelly Beans & Gummy Candy,Jelly Beans,16322511
Jelly Beans & Gummy Candy,Licorice,16322521
Jelly Beans & Gummy Candy,Taffy,16322571
Traditional & International Sweets,Halva,724729011
Traditional & International Sweets,Wagashi,17369020011
"Dairy, Cheese & Eggs",Butter & Margarine,6520421011
"Dairy, Cheese & Eggs",Cheese,6520456011
"Dairy, Cheese & Eggs",Cheese & Charcuterie Gifts,2255573011
"Dairy, Cheese & Eggs",Cheese Assortments & Samplers,2256190011
"Dairy, Cheese & Eggs",Cheese Dips & Spreads,6523347011
"Dairy, Cheese & Eggs",Cottage Cheese,6520428011
"Dairy, Cheese & Eggs",Cream Cheese,6520429011
"Dairy, Cheese & Eggs",Eggs & Egg Substitutes,371464011
"Dairy, Cheese & Eggs",Milk & Cream,6520435011
"Dairy, Cheese & Eggs",Non-Dairy Milks,119343011
"Dairy, Cheese & Eggs",Snack Packs & Lunches,10802559011
"Dairy, Cheese & Eggs",Sour Cream,6520504011
"Dairy, Cheese & Eggs",Whipped Toppings,6520505011
"Dairy, Cheese & Eggs",Yogurt,6520506011
Butter & Margarine,Butter,7476296011
Butter & Margarine,Ghee & Clarified Butter,6492282011
Butter & Margarine,Non-Dairy Butter Substitutes,6520424011
Cheese,American,6520457011
Cheese,Asiago,17608850011
Cheese,Blue Cheese,2256176011
Cheese,Brie,2256177011
Cheese,Camembert,17608851011
Cheese,Cheddar,6520458011
Cheese,Cheese Blends,6520459011
Cheese,Cheese Curds,17608852011
Cheese,Ch̬vre,17608853011
Cheese,Colby,6520460011
Cheese,Deli-Sliced Cheeses,10779590011
Cheese,Emmental,17608854011
Cheese,Feta,6520461011
Cheese,Gouda,6520462011
Cheese,Gruy̬re,17608855011
Cheese,Havarti,6520463011
Cheese,Limburger,17608856011
Cheese,Manchego,17608857011
Cheese,Mexican Cheese,16040118011
Cheese,Monterey Jack,6520464011
Cheese,Mozzarella,6520465011
Cheese,Muenster,6520466011
Cheese,Paneer,17608858011
Cheese,Parmesan,6520467011
Cheese,Pecorino,2256188011
Cheese,Processed,6520468011
Cheese,Provolone,6520469011
Cheese,Ricotta,6520470011
Cheese,String & Snack,6520471011
Cheese,Swiss,6520472011
Cheese,Taleggio,17608859011
Cheese,Vegetarian,6520473011
Mexican Cheese,Cotija,16030983011
Mexican Cheese,Oaxaca,16030985011
Mexican Cheese,Queso Chihuahua,16030986011
Eggs & Egg Substitutes,Egg Substitutes,6520431011
Eggs & Egg Substitutes,Egg Whites,6520432011
Eggs & Egg Substitutes,Whole Eggs,6520434011
Yogurt,Drinks,6520513011
Yogurt,Greek & Icelandic,16741853011
Yogurt,Kefir,6520509011
Yogurt,Kids & Baby,6520510011
Yogurt,Non-Dairy,6520512011
Yogurt,Starter Cultures,16171817011
Yogurt,Traditional Flavored,13769137011
Yogurt,Traditional Plain,13769138011
Greek & Icelandic,Flavored,16171816011
Greek & Icelandic,Plain,6520508011
Deli & Prepared Foods,Appetizers,10759242011
Deli & Prepared Foods,Box Lunches,10763290011
Deli & Prepared Foods,Breakfast,10764355011
Deli & Prepared Foods,"Casseroles, Pot Pies & Quiches",10764480011
Deli & Prepared Foods,Deli Meats & Cheeses,18773725011
Deli & Prepared Foods,Deli Salads,10770975011
Deli & Prepared Foods,"Dips, Salsas & Spreads",10770560011
Deli & Prepared Foods,Entrees,10770668011
Deli & Prepared Foods,Fresh Pasta & Sauces,10770824011
Deli & Prepared Foods,Meal Kits,15709227011
Deli & Prepared Foods,Olives & Antipasto,9847696011
Deli & Prepared Foods,Sandwiches & Wraps,10771131011
Deli & Prepared Foods,Side Dishes,10771164011
Deli & Prepared Foods,"Soups, Stews & Chili",10771239011
Deli Meats & Cheeses,Deli-Sliced Cheeses,10779590011
Deli Meats & Cheeses,Deli-Sliced Meats,6518735011
Deli Meats & Cheeses,Hot Dogs & Franks,6518846011
Deli Meats & Cheeses,Prepackaged Deli Meats,12071184011
Deli-Sliced Meats,Bologna,6518736011
Deli-Sliced Meats,Capicola,10779515011
Deli-Sliced Meats,Corned Beef,6518738011
Deli-Sliced Meats,Ham,6518739011
Deli-Sliced Meats,Liverwurst,6518740011
Deli-Sliced Meats,Meat Loaves,9847688011
Deli-Sliced Meats,Mortadella,10779516011
Deli-Sliced Meats,Pastrami,6518742011
Deli-Sliced Meats,Pepperoni,6518743011
Deli-Sliced Meats,Prosciutto,6518745011
Deli-Sliced Meats,Roast Beef,6518746011
Deli-Sliced Meats,Salami,6518747011
Deli-Sliced Meats,Turkey,6518748011
Prepackaged Deli Meats,Bologna,12071185011
Prepackaged Deli Meats,Capicola,12071186011
Prepackaged Deli Meats,Corned Beef,12071187011
Prepackaged Deli Meats,Ham,12071188011
Prepackaged Deli Meats,Liverwurst,12071189011
Prepackaged Deli Meats,Meat Loaves,12071190011
Prepackaged Deli Meats,Mortadella,12071191011
Prepackaged Deli Meats,Pastrami,12071192011
Prepackaged Deli Meats,Pepperoni,12071193011
Prepackaged Deli Meats,Prosciutto,12071194011
Prepackaged Deli Meats,Roast Beef,12071195011
Prepackaged Deli Meats,Salami,12071196011
Prepackaged Deli Meats,Turkey,12071198011
"Dips, Salsas & Spreads",Bean,6523346011
"Dips, Salsas & Spreads",Cheese,6523347011
"Dips, Salsas & Spreads",Guacamole,2255612011
"Dips, Salsas & Spreads",Hummus,16320031
"Dips, Salsas & Spreads",Olive,6523350011
"Dips, Salsas & Spreads",Salsas,6523353011
"Dips, Salsas & Spreads",Vegetable,6523352011
Olives & Antipasto,Artichoke Hearts,6465008011
Olives & Antipasto,Canned & Jarred Fish,9847698011
Olives & Antipasto,Capers,16319781
Olives & Antipasto,Cornichons,9847700011
Olives & Antipasto,Mushrooms,6465018011
Olives & Antipasto,Okra,6465019011
Olives & Antipasto,Pickled Vegetables,6466918011
Olives & Antipasto,Stuffed Grape Leaves,10780852011
Olives & Antipasto,Sun-Dried Tomatoes,6465027011
Food & Beverage Gifts,Assortments & Variety Gifts,12011207011
Food & Beverage Gifts,Bakery & Dessert Gifts,2255576011
Food & Beverage Gifts,Candy & Chocolate Gifts,2255572011
Food & Beverage Gifts,Cheese & Charcuterie Gifts,2255573011
Food & Beverage Gifts,Coffee & Tea Gifts,2255575011
Food & Beverage Gifts,Fruit & Nut Gifts,2255577011
Food & Beverage Gifts,"Herb, Spice & Seasoning Gifts",2255584011
Food & Beverage Gifts,"Jam, Jelly & Sweet Spread Gifts",2255578011
Food & Beverage Gifts,Meat & Seafood Gifts,2255579011
Food & Beverage Gifts,"Sauce, Gravy & Marinade Gifts",2255580011
Food & Beverage Gifts,Snack Gifts,2255582011
Fresh Flowers & Live Indoor Plants,Fresh Centerpieces,6558998011
Fresh Flowers & Live Indoor Plants,Fresh Cut Flowers,12902901
Fresh Flowers & Live Indoor Plants,Fresh Sprays,6559011011
Fresh Flowers & Live Indoor Plants,Fresh Wreaths,6559012011
Fresh Flowers & Live Indoor Plants,Live Indoor Plants,3744981
Fresh Cut Flowers,Carnations,3745191
Fresh Cut Flowers,Chrysanthemums,3745201
Fresh Cut Flowers,Daffodils,3745211
Fresh Cut Flowers,Daisies,3745221
Fresh Cut Flowers,Hydrangeas,18768204011
Fresh Cut Flowers,Irises,3745231
Fresh Cut Flowers,Lilies,3745241
Fresh Cut Flowers,Mixed Bouquets,3745291
Fresh Cut Flowers,Orchids,3745251
Fresh Cut Flowers,Peonies,18768205011
Fresh Cut Flowers,Roses,3745261
Fresh Cut Flowers,Sunflowers,3745271
Fresh Cut Flowers,Tulips,3745281
Live Indoor Plants,Bamboo,6584376011
Live Indoor Plants,Bonsai,10825941
Live Indoor Plants,Cacti & Succulents,3745941
Live Indoor Plants,Orchids,3745091
Frozen,Appetizers & Snacks,6459123011
Frozen,Bread & Dough,6459132011
Frozen,Breakfast Foods,6459139011
Frozen,Desserts & Toppings,6459150011
Frozen,Fruit,6459159011
Frozen,Ice Cream & Novelties,6459171011
Frozen,Juice,6459193011
Frozen,Meals & Entrees,6459203011
Frozen,Meats,6459214011
Frozen,Pasta & Sauces,6459227011
Frozen,Pizza,6459230011
